"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Caribbean small states","CSS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","99912","103366","106967","110586","114197","117806","120120","122470","124952","127596","130352","133419","136525","139807","143171","146413","151544","156544","161609","166720","171674","175491","178901","182198","185439","188487","191499","194893","198888","203461","208464","211943","215050","217857","220443","222936","226403","229921","233624","237650","241982","245670","249571","253615","257769","262106","267382","272597","277919","283726","290340","296543","303557","311240","319465","328179","337246","346512","",
"Cuba","CUB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","150577","156311","161447","166680","173104","181296","189999","200978","213571","226608","239510","254113","267954","281404","295358","310263","324744","340272","356318","371676","385721","399965","411931","422626","433691","445999","454505","464306","474891","485438","495640","504222","513074","521947","530686","539333","549913","559471","568825","579122","590947","603600","617656","632757","648100","663369","682425","701174","719802","738662","758130","775427","792356","810007","829849","852762","877037","904721","",
"Curacao","CUW","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3756","3750","3768","3785","3793","3787","3894","3996","4114","4246","4396","4570","4667","4718","4807","4851","4900","4941","4941","4965","5023","5128","5269","5392","5506","5621","5811","5949","6044","6128","6245","6375","6535","6753","6981","7235","7567","7885","8041","8042","7996","7964","8231","8678","9144","9740","10082","10418","10736","11016","11381","11907","12383","12934","13556","14220","14789","15338","",
"Cayman Islands","CYM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population ages 65 and above, female","SP.POP.65UP.FE.IN","17200","18159","19108","19741","20026","20220","22433","25001","27778","30615","33450","33646","33782","33898","34032","34182","34353","34490","34592","34656","34676","35303","35895","36452","37038","37698","38170","38799","39576","40497","41546","42559","43676","44915","46270","47724","48828","49989","51195","52421","53656","54823","56046","57450","59123","61025","62628","64311","66077","67909","69761","72107","74443","76799","79192","81635","83946","86331","",
"Czech Republic","CZE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","537424","551688","569340","588083","608408","629474","650799","672253","693454","713798","728509","741913","757427","771963","787355","803930","820447","838260","853658","860898","854548","839531","816202","788906","766978","755849","760984","773753","790981","806997","816117","825091","833869","840293","844769","847817","855388","862561","868640","872304","871523","872651","871577","870441","871409","876620","886643","902376","923315","944878","967031","992789","1021275","1050903","1081549","1112054","1143159","1172490","",
"Germany","DEU","Population ages 65 and above, female","SP.POP.65UP.FE.IN","4992030","5152206","5312857","5474806","5634397","5804356","5960315","6095834","6234478","6401952","6549524","6705057","6884661","7055873","7205768","7319148","7464326","7608861","7737346","7830197","7878297","7865898","7776514","7646871","7529362","7468158","7470561","7523635","7618399","7738435","7845683","7934270","8012554","8070453","8091555","8098906","8162411","8190198","8204437","8250292","8346351","8485521","8665842","8857924","9032488","9174540","9320009","9432610","9513544","9572297","9632456","9478526","9506463","9541812","9602871","9726373","9843166","9941416","",
"Djibouti","DJI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1071","1132","1207","1296","1395","1508","1610","1720","1846","1979","2127","2257","2392","2558","2768","3038","3294","3610","3971","4333","4681","4929","5135","5334","5577","5900","6311","6812","7355","7891","8404","8736","8988","9197","9397","9628","9987","10384","10805","11238","11672","12116","12558","12996","13456","13931","14433","14952","15501","16085","16723","17423","18155","18908","19649","20366","21032","21677","",
"Dominica","DMA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Population ages 65 and above, female","SP.POP.65UP.FE.IN","261702","268492","275846","283448","291111","298708","307135","315546","323486","331441","340363","350367","359914","369607","378872","387556","395965","404537","412947","420714","427487","433250","438001","442288","446596","451478","456746","461582","465476","468552","471072","471555","471393","470402","468825","467764","467532","466388","464854","463111","461506","462266","462690","463346","465095","468498","474457","481994","491353","501660","512733","523609","536873","552560","569158","585517","600279","611418","",
