"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cabo Verde","CPV","Population ages 0-14, female","SP.POP.0014.FE.IN","42699","44425","46951","49942","52835","55368","58400","61012","63243","65154","66625","67169","67421","67368","67070","66705","66884","66916","66901","67008","67327","67527","68055","68859","69800","70789","71981","73233","74602","76171","78000","79911","81879","83858","85759","87506","89014","90366","91491","92292","92697","92694","92342","91662","90735","89631","88753","87788","86768","85768","84889","84192","83570","83044","82632","82319","81952","81732","",
"Costa Rica","CRI","Population ages 0-14, female","SP.POP.0014.FE.IN","292846","305220","316444","326976","337548","348371","359622","370626","381068","390268","397792","403651","407960","411046","413634","416342","418519","421733","425698","429955","434408","441650","448430","455435","463564","473135","483847","495611","508102","520569","532512","543332","553272","562159","569969","576652","582668","587419","590547","591590","590321","589228","585631","580306","574485","568983","563330","559007","555336","551143","545896","542822","538019","532430","527505","523893","520566","518717","",
"Caribbean small states","CSS","Population ages 0-14, female","SP.POP.0014.FE.IN","875775","903108","929253","953351","974634","992735","1011524","1027929","1042462","1055940","1068573","1069592","1071403","1072918","1072560","1069710","1059801","1048267","1036842","1028248","1023825","1019047","1019169","1021764","1023035","1020864","1021954","1018004","1011681","1007250","1006780","1003895","1005391","1009055","1011222","1010039","1006355","1000570","993733","987558","982604","973594","965102","957020","948998","940734","929742","918962","907892","896215","884100","874025","862702","851090","840722","832459","825472","821880","",
"Cuba","CUB","Population ages 0-14, female","SP.POP.0014.FE.IN","1229552","1254258","1300068","1357013","1409410","1449269","1502060","1532138","1549938","1571818","1605077","1626227","1662200","1702070","1727558","1728982","1719467","1683805","1629805","1572944","1522633","1462181","1416142","1379728","1343870","1305361","1282832","1255827","1228659","1207781","1195152","1191995","1190592","1191944","1195654","1200795","1195220","1196716","1199748","1197279","1186233","1171761","1147385","1117072","1087734","1062923","1033652","1009528","989701","971819","954991","941745","931177","922459","914565","906726","901718","894397","",
"Curacao","CUW","Population ages 0-14, female","SP.POP.0014.FE.IN","25310","25678","26144","26598","27023","27415","27489","27654","27986","28247","28318","28536","28105","27345","27008","26608","25744","24895","23902","23072","22427","21865","21584","21325","21057","20798","20575","20266","19887","19556","19373","19155","19023","19008","18981","18950","18878","18727","18136","17212","16252","15065","14591","14439","14236","14165","14403","14486","14430","14338","14415","14338","14314","14396","14495","14561","14674","14719","",
"Cayman Islands","CYM","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population ages 0-14, female","SP.POP.0014.FE.IN","102873","103298","102616","101201","99648","98277","97059","95804","94541","93254","91953","90499","89101","88106","87571","87309","86525","85766","85016","84187","83225","83603","83726","83860","84219","84926","86394","87863","89652","91864","94352","95889","97461","98992","100250","101103","102537","103164","103230","102995","102570","102342","101878","101235","100472","99704","99253","98766","98186","97351","96192","96173","95830","95381","95041","94898","95451","96056","",
"Czech Republic","CZE","Population ages 0-14, female","SP.POP.0014.FE.IN","1208274","1183944","1164912","1145327","1125497","1103933","1089108","1070036","1050081","1034840","1021493","1011711","1020034","1037242","1057401","1076693","1104721","1127305","1146364","1164038","1176264","1184701","1190390","1191299","1188980","1184716","1164162","1149215","1135316","1115829","1085549","1062893","1033741","999431","966519","937810","909993","884582","861867","840779","819589","791222","771772","757718","744558","731756","728022","723997","722218","722611","725866","734165","743220","752899","764126","776429","782555","792237","",
"Germany","DEU","Population ages 0-14, female","SP.POP.0014.FE.IN","7631801","7765812","7950540","8159352","8344439","8502317","8674219","8772296","8834233","8901079","8899965","8857610","8792672","8675521","8514644","8310564","8016568","7778876","7563607","7335732","7089679","6909830","6672082","6415487","6195399","6048757","5982239","5970667","6015151","6098233","6184283","6273551","6352394","6414042","6451552","6481674","6446800","6421710","6391305","6346753","6281368","6219468","6123159","6004059","5889867","5793101","5686888","5601939","5531383","5462796","5400084","5255913","5220743","5195313","5187953","5215305","5248302","5265211","",
"Djibouti","DJI","Population ages 0-14, female","SP.POP.0014.FE.IN","18032","19144","20324","21617","23085","24743","26708","28855","31162","33558","36017","38590","41134","43967","47553","52231","58141","64960","71940","77937","82132","85697","87500","88595","90702","95048","101097","109450","118734","126635","131476","135271","136036","134922","133943","134436","135451","137897","141088","143776","145194","146792","147293","147026","146616","146422","146374","146323","146318","146333","146365","146308","146420","146586","146649","146536","146847","146864","",
"Dominica","DMA","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
